d,glon,glat
4.42,298.48130,2.33846
4.44,238.98864,7.34651
4.44,216.30718,-4.48612
4.44,357.94103,-5.11122
4.44,2.10035,-13.44363
4.44,190.70904,-1.35667
4.45,337.31409,0.63610
4.45,18.08596,20.15181
4.45,63.30053,2.21058
4.46,14.94866,6.46101
4.47,242.64600,-11.60710
4.47,48.94350,4.36620
4.48,265.11422,-4.21123
4.48,342.13863,27.53175
4.48,274.30927,9.11207
4.49,262.65200,-4.61941
4.49,31.72970,1.73814
4.5,139.31100,4.84178
4.5,199.47406,14.37354
4.5,60.33653,-5.02884
4.5,342.22626,-0.38020
4.51,322.41779,-0.17200
4.52,250.42880,-1.32970
4.54,64.52054,3.40738
4.54,38.25794,12.08481
4.55,15.49060,-4.59270
4.55,331.32600,16.82820
4.55,204.88368,-3.57761
4.56,3.65562,-2.35631
4.57,210.37768,1.90396
4.57,113.61506,-6.95406
4.58,45.01804,-12.46453
4.58,302.37280,-0.54150
4.59,275.89347,-1.02280
4.59,46.44442,-4.12519
4.6,309.68179,-4.83870
4.6,37.60116,-5.16328
4.6,300.71064,-2.08678
4.61,100.62216,-5.40227
4.61,24.12265,3.88538
4.62,95.91781,3.59288
4.62,292.82739,0.66000
4.63,285.73439,1.29733
4.64,14.02851,-5.52793
4.64,130.48392,3.15384
4.64,348.07152,6.31633
4.65,273.29538,-3.78737
4.67,58.32967,-10.97887
4.67,21.28910,0.98200
4.67,1.44252,-3.41057
4.67,321.30268,2.83881
4.68,167.46303,-9.11083
4.68,55.36574,6.69193
4.68,234.99513,-1.44211
4.68,291.64025,-4.84257
4.69,55.55537,-1.79697
4.69,354.24751,4.36581
4.7,252.63500,4.45058
4.7,359.49508,-3.46429
4.7,291.43419,19.25775
4.71,72.19912,0.10436
4.71,250.35339,-5.49011
4.73,170.31360,15.87193
4.74,31.06518,-10.89711
4.74,16.62664,7.00015
4.77,313.82639,-5.76270
4.77,297.03339,-4.91170
4.78,226.42569,-3.74400
4.78,114.42106,0.03242
4.78,86.54127,-8.83390
4.78,84.67293,-7.96419
4.79,296.51260,2.73970
4.8,3.17458,-2.17274
4.8,16.90191,-9.69380
4.8,32.08686,-1.78733
4.8,201.95782,-4.65928
4.8,119.36800,0.32993
4.81,159.06004,-15.19059
4.81,355.73342,-3.47257
4.82,353.78858,-12.89737
4.82,313.99319,2.87210
4.83,78.92989,0.76337
4.83,270.16885,24.83555
4.84,2.34620,2.25429
4.84,43.08853,-3.04356
4.85,3.32606,-4.65957
4.85,351.92881,9.04119
4.88,26.79580,-1.04970
4.88,331.31019,-12.16429
4.89,9.66171,10.51425
4.89,30.89317,3.46779
4.9,357.12084,3.61174
4.92,317.57581,0.88190
4.93,351.27480,5.27797
4.93,269.73818,-3.61937
4.94,330.65047,-2.12446
4.95,26.92168,-0.76503
4.95,8.39637,-7.31947
4.96,315.73681,5.56640
4.96,0.48389,-2.92630
4.96,359.99970,-6.85039
4.96,4.93929,4.93622
4.96,4.33245,1.84326
4.97,291.31769,8.40550
4.97,190.39450,-17.75998
4.97,51.07073,3.07509
4.99,2.29132,-9.48065
4.99,329.76810,1.46150
4.99,2.13915,-2.22988
4.99,127.66945,-1.12288
5,229.64094,-2.73050
5.01,358.88608,3.05225
5.02,89.87282,-5.13392
5.05,2.22654,-2.78495
5.05,231.49600,4.35172
5.06,97.68216,-2.45171
5.07,357.27164,-4.54188
5.07,44.32048,-5.66017
5.09,37.78389,-1.33206
5.09,16.01328,-7.62304
5.1,0.59878,-5.39256
5.1,0.41313,-1.98961
5.12,355.47344,-4.09726
5.14,7.81242,-3.70022
5.14,211.22513,-3.53224
5.15,339.09879,0.98920
5.15,347.48744,5.81062
5.16,11.72529,0.26406
5.16,325.99469,-1.76220
5.16,17.63289,2.60977
5.17,337.55137,-5.14056
5.2,283.39910,3.90518
5.2,292.78781,1.98977
5.2,292.80245,1.12589
5.21,4.83440,-1.19460
5.21,348.02995,-13.85319
5.22,4.80641,-5.02379
5.22,357.32753,4.05682
5.23,324.82432,-1.16618
5.23,21.21652,-3.93619
5.23,236.76801,3.56810
5.23,52.23156,7.63445
5.24,117.55572,18.94628
5.24,54.16148,-3.37347
5.25,1.21460,-5.66140
5.25,20.77922,-5.96611
5.27,51.04837,-4.60076
5.27,322.19839,-0.41060
5.28,0.12383,-1.14515
5.29,355.96927,3.62640
5.29,86.91049,-3.48223
5.3,334.84301,-7.46398
5.31,350.90884,4.40218
5.31,73.07110,3.66688
5.31,300.27849,0.66165
5.32,358.24134,3.63424
5.33,12.16410,-11.22030
5.34,5.02300,-3.94442
5.34,299.11810,-0.13660
5.34,357.63289,-3.33211
5.35,0.99370,-3.35980
5.35,357.83319,1.62010
5.39,285.45008,1.50388
5.4,358.65227,-5.57244
5.41,29.21113,-0.06898
5.41,52.43661,-9.90466
5.43,352.95753,-7.59650
5.43,286.34930,-0.71060
5.45,237.32000,-8.39479
5.45,351.19914,4.83634
5.46,357.32876,3.37789
5.47,131.42200,-5.44730
5.47,212.64220,-0.06590
5.47,322.20749,-0.74270
5.48,280.00597,2.98635
5.5,320.33409,-28.88838
5.51,173.51054,3.22686
5.53,288.87899,-5.21551
5.53,55.67135,2.15673
5.56,3.85835,-4.57609
5.56,332.79524,-16.46564
5.57,52.07192,2.73693
5.58,248.58260,10.55310
5.59,32.54850,-0.47380
5.59,28.79079,-3.90466
5.59,357.48251,-3.24774
5.63,29.82160,0.50870
5.65,239.65359,-12.07298
5.67,2.62188,8.19055
5.67,0.35839,-4.65958
5.68,327.84889,-1.67033
5.68,288.73518,8.11456
5.68,61.09431,8.07063
5.69,24.36695,-3.36117
5.7,11.34142,-9.44781
5.7,359.95175,-4.59869
5.71,55.31577,2.71978
5.71,58.95171,1.38920
5.72,275.28156,-2.93515
5.73,245.41568,1.62892
5.75,311.69720,7.34670
5.75,309.02129,0.89059
5.76,316.31118,-1.37527
5.77,321.20959,-3.45810
5.78,358.24315,4.28895
5.79,278.85625,4.99599
5.79,189.89441,7.79282
5.8,322.17649,-6.60308
5.8,197.84943,-3.40007
5.8,279.67471,2.21130
5.81,126.38442,2.99670
5.85,357.99300,-3.84195
5.87,357.60702,1.79539
5.87,4.64872,6.09097
5.87,119.66990,-6.75968
5.87,28.95210,0.25660
5.88,9.89407,-4.63481
5.89,36.95399,-1.18044
5.91,224.36091,-3.42788
5.91,30.50645,-0.21862
5.91,58.23736,4.56321
5.93,19.42271,-13.62480
5.94,3.19286,3.41216
5.95,0.72555,3.24734
5.95,19.94471,0.91260
5.96,75.69607,4.37686
5.97,28.55697,5.18164
5.98,358.51502,-4.22641
5.98,11.00014,6.28422
5.98,4.77609,-11.89561
5.99,355.32739,-3.21240
5.99,6.45460,2.01487
6,228.62421,1.98090
6,0.63567,-1.39791
6,52.54146,-2.95994
6.02,107.60181,-13.32185
6.03,11.79193,-6.65445
6.04,38.11837,-25.46250
6.04,14.65770,1.01250
6.04,6.04049,-3.62040
6.05,32.78375,-2.04185
6.06,76.37256,1.17190
6.07,27.64718,-9.64149
6.07,184.04542,-2.14246
6.08,33.28942,-1.90237
6.1,43.19856,3.81018
6.1,255.71700,3.31482
6.1,101.55136,-0.60083
6.1,308.25999,7.79268
6.11,293.12659,-0.07360
6.11,299.82648,-1.32916
6.11,137.71427,3.30659
6.11,329.55901,-2.27117
6.11,332.25164,3.55987
6.12,248.86072,-8.56371
6.12,316.24747,0.88382
6.14,57.22821,-8.91770
6.14,35.29844,5.20462
6.15,12.21936,4.92278
6.15,350.89440,-2.47210
6.16,19.79517,-4.52704
6.16,343.63946,3.73357
6.16,68.35072,-2.73822
6.17,144.32200,-15.53801
6.17,359.35982,-3.10202
6.19,0.15423,-5.61605
6.19,24.42960,0.96610
6.19,3.78950,-4.65759
6.19,12.46550,2.42240
6.19,4.04410,-2.59730
6.2,355.90384,-4.26922
6.21,335.47078,9.26716
6.21,3.96369,-14.90267
6.22,59.01311,-1.77921
